realtime_start,realtime_end,date,value
2025-04-25,2025-04-25,2020-01-01,-67.3
2025-04-25,2025-04-25,2020-02-01,16.7
2025-04-25,2025-04-25,2020-03-01,-46.1
2025-04-25,2025-04-25,2020-04-01,-87.9
2025-04-25,2025-04-25,2020-05-01,589.3
2025-04-25,2025-04-25,2020-06-01,58.2
2025-04-25,2025-04-25,2020-07-01,2.3
2025-04-25,2025-04-25,2020-08-01,10.7
2025-04-25,2025-04-25,2020-09-01,0.2
2025-04-25,2025-04-25,2020-10-01,7.4
2025-04-25,2025-04-25,2020-11-01,37.5
2025-04-25,2025-04-25,2020-12-01,39.9
2025-04-25,2025-04-25,2021-01-01,-64.0
2025-04-25,2025-04-25,2021-02-01,12.9
2025-04-25,2025-04-25,2021-03-01,49.9
2025-04-25,2025-04-25,2021-04-01,0.3
2025-04-25,2025-04-25,2021-05-01,17.7
2025-04-25,2025-04-25,2021-06-01,-5.3
2025-04-25,2025-04-25,2021-07-01,-2.3
2025-04-25,2025-04-25,2021-08-01,2.6
2025-04-25,2025-04-25,2021-09-01,-7.5
2025-04-25,2025-04-25,2021-10-01,11.3
2025-04-25,2025-04-25,2021-11-01,37.7
2025-04-25,2025-04-25,2021-12-01,36.3
2025-04-25,2025-04-25,2022-01-01,-67.4
2025-04-25,2025-04-25,2022-02-01,23.3
2025-04-25,2025-04-25,2022-03-01,18.0
2025-04-25,2025-04-25,2022-04-01,7.1
2025-04-25,2025-04-25,2022-05-01,6.6
2025-04-25,2025-04-25,2022-06-01,-8.9
2025-04-25,2025-04-25,2022-07-01,-3.2
2025-04-25,2025-04-25,2022-08-01,5.1
2025-04-25,2025-04-25,2022-09-01,-7.4
2025-04-25,2025-04-25,2022-10-01,7.5
2025-04-25,2025-04-25,2022-11-01,33.6
2025-04-25,2025-04-25,2022-12-01,42.9
2025-04-25,2025-04-25,2023-01-01,-63.8
2025-04-25,2025-04-25,2023-02-01,16.4
2025-04-25,2025-04-25,2023-03-01,12.0
2025-04-25,2025-04-25,2023-04-01,2.5
2025-04-25,2025-04-25,2023-05-01,9.6
2025-04-25,2025-04-25,2023-06-01,-9.0
2025-04-25,2025-04-25,2023-07-01,-2.5
2025-04-25,2025-04-25,2023-08-01,5.4
2025-04-25,2025-04-25,2023-09-01,-8.4
2025-04-25,2025-04-25,2023-10-01,5.1
2025-04-25,2025-04-25,2023-11-01,40.9
2025-04-25,2025-04-25,2023-12-01,45.5
2025-04-25,2025-04-25,2024-01-01,-65.3
2025-04-25,2025-04-25,2024-02-01,19.8
2025-04-25,2025-04-25,2024-03-01,12.6
2025-04-25,2025-04-25,2024-04-01,1.3
2025-04-25,2025-04-25,2024-05-01,11.7
2025-04-25,2025-04-25,2024-06-01,-10.4
2025-04-25,2025-04-25,2024-07-01,-4.8
2025-04-25,2025-04-25,2024-08-01,6.6
2025-04-25,2025-04-25,2024-09-01,-8.3
2025-04-25,2025-04-25,2024-10-01,7.5
2025-04-25,2025-04-25,2024-11-01,39.3
2025-04-25,2025-04-25,2024-12-01,39.4
2025-04-25,2025-04-25,2025-01-01,-62.5
2025-04-25,2025-04-25,2025-02-01,13.4
2025-04-25,2025-04-25,2025-03-01,16.6
