realtime_start,realtime_end,date,value
2025-04-10,2025-04-10,1954-08-01,42.800
2025-04-10,2025-04-10,1954-09-01,43.000
2025-04-10,2025-04-10,1954-10-01,43.100
2025-04-10,2025-04-10,1954-11-01,43.100
2025-04-10,2025-04-10,1954-12-01,43.100
2025-04-10,2025-04-10,1955-01-01,42.700
2025-04-10,2025-04-10,1955-02-01,42.700
2025-04-10,2025-04-10,1955-03-01,42.700
2025-04-10,2025-04-10,1955-04-01,42.600
2025-04-10,2025-04-10,1955-05-01,42.700
2025-04-10,2025-04-10,1955-06-01,42.700
2025-04-10,2025-04-10,1955-07-01,42.700
2025-04-10,2025-04-10,1955-08-01,42.800
2025-04-10,2025-04-10,1955-09-01,43.200
2025-04-10,2025-04-10,1955-10-01,43.200
2025-04-10,2025-04-10,1955-11-01,43.300
2025-04-10,2025-04-10,1955-12-01,43.300
2025-04-10,2025-04-10,1956-01-01,43.200
2025-04-10,2025-04-10,1956-02-01,43.400
2025-04-10,2025-04-10,1956-03-01,43.400
2025-04-10,2025-04-10,1956-04-01,43.500
2025-04-10,2025-04-10,1956-05-01,43.500
2025-04-10,2025-04-10,1956-06-01,43.500
2025-04-10,2025-04-10,1956-07-01,43.600
2025-04-10,2025-04-10,1956-08-01,43.700
2025-04-10,2025-04-10,1956-09-01,44.100
2025-04-10,2025-04-10,1956-10-01,44.300
2025-04-10,2025-04-10,1956-11-01,44.400
2025-04-10,2025-04-10,1956-12-01,44.400
2025-04-10,2025-04-10,1957-01-01,44.200
2025-04-10,2025-04-10,1957-02-01,44.100
2025-04-10,2025-04-10,1957-03-01,44.400
2025-04-10,2025-04-10,1957-04-01,44.300
2025-04-10,2025-04-10,1957-05-01,44.400
2025-04-10,2025-04-10,1957-06-01,44.400
2025-04-10,2025-04-10,1957-07-01,44.400
2025-04-10,2025-04-10,1957-08-01,44.400
2025-04-10,2025-04-10,1957-09-01,44.700
2025-04-10,2025-04-10,1957-10-01,44.900
2025-04-10,2025-04-10,1957-11-01,45.000
2025-04-10,2025-04-10,1957-12-01,44.800
2025-04-10,2025-04-10,1958-01-01,44.600
2025-04-10,2025-04-10,1958-02-01,44.600
2025-04-10,2025-04-10,1958-03-01,44.600
2025-04-10,2025-04-10,1958-04-01,44.600
2025-04-10,2025-04-10,1958-05-01,44.600
2025-04-10,2025-04-10,1958-06-01,44.600
2025-04-10,2025-04-10,1958-07-01,44.600
2025-04-10,2025-04-10,1958-08-01,44.500
2025-04-10,2025-04-10,1958-09-01,44.700
2025-04-10,2025-04-10,1958-10-01,44.800
2025-04-10,2025-04-10,1958-11-01,45.000
2025-04-10,2025-04-10,1958-12-01,44.900
2025-04-10,2025-04-10,1959-01-01,44.600
2025-04-10,2025-04-10,1959-02-01,44.600
2025-04-10,2025-04-10,1959-03-01,44.600
2025-04-10,2025-04-10,1959-04-01,44.700
2025-04-10,2025-04-10,1959-05-01,44.800
2025-04-10,2025-04-10,1959-06-01,44.800
2025-04-10,2025-04-10,1959-07-01,44.900
2025-04-10,2025-04-10,1959-08-01,45.100
2025-04-10,2025-04-10,1959-09-01,45.500
2025-04-10,2025-04-10,1959-10-01,45.600
2025-04-10,2025-04-10,1959-11-01,45.600
2025-04-10,2025-04-10,1959-12-01,45.500
2025-04-10,2025-04-10,1960-01-01,45.100
2025-04-10,2025-04-10,1960-02-01,45.300
2025-04-10,2025-04-10,1960-03-01,45.400
2025-04-10,2025-04-10,1960-04-01,45.500
2025-04-10,2025-04-10,1960-05-01,45.500
2025-04-10,2025-04-10,1960-06-01,45.500
2025-04-10,2025-04-10,1960-07-01,45.600
2025-04-10,2025-04-10,1960-08-01,45.700
2025-04-10,2025-04-10,1960-09-01,46.100
2025-04-10,2025-04-10,1960-10-01,46.300
2025-04-10,2025-04-10,1960-11-01,46.200
2025-04-10,2025-04-10,1960-12-01,46.200
2025-04-10,2025-04-10,1961-01-01,45.800
2025-04-10,2025-04-10,1961-02-01,45.800
2025-04-10,2025-04-10,1961-03-01,45.900
2025-04-10,2025-04-10,1961-04-01,45.800
2025-04-10,2025-04-10,1961-05-01,45.900
2025-04-10,2025-04-10,1961-06-01,45.800
2025-04-10,2025-04-10,1961-07-01,46.000
2025-04-10,2025-04-10,1961-08-01,46.000
2025-04-10,2025-04-10,1961-09-01,46.400
2025-04-10,2025-04-10,1961-10-01,46.500
2025-04-10,2025-04-10,1961-11-01,46.400
2025-04-10,2025-04-10,1961-12-01,46.400
2025-04-10,2025-04-10,1962-01-01,45.700
2025-04-10,2025-04-10,1962-02-01,45.900
2025-04-10,2025-04-10,1962-03-01,46.100
2025-04-10,2025-04-10,1962-04-01,46.100
2025-04-10,2025-04-10,1962-05-01,46.100
2025-04-10,2025-04-10,1962-06-01,46.200
2025-04-10,2025-04-10,1962-07-01,46.200
2025-04-10,2025-04-10,1962-08-01,46.100
2025-04-10,2025-04-10,1962-09-01,46.900
2025-04-10,2025-04-10,1962-10-01,47.000
2025-04-10,2025-04-10,1962-11-01,46.800
